date,cycle,dram_spot,dram_contract,nand_contract,mu_stock,mu_revenue,mu_gross_margin,event
2017-09,2018-19,,90,88,35,6.8,55.0,
2017-10,2018-19,,93,91,41,6.8,55.0,
2017-11,2018-19,,96,94,44,6.8,55.0,
2017-12,2018-19,,98,96,41,6.8,55.0,
2018-01,2018-19,,99,98,43,6.8,55.0,
2018-02,2018-19,,100,100,46,7.35,58.0,
2018-03,2018-19,,100,100,53,7.35,58.0,
2018-04,2018-19,,100,99,50,7.35,58.0,
2018-05,2018-19,,100,98,58,7.8,61.0,
2018-06,2018-19,,100,96,52,7.8,61.0,
2018-07,2018-19,,99,93,54,7.8,61.0,
2018-08,2018-19,,98,90,51,8.44,61.0,
2018-09,2018-19,,96,86,46,8.44,61.0,
2018-10,2018-19,,92,82,40,8.44,61.0,
2018-11,2018-19,,88,78,39,7.91,59.0,
2018-12,2018-19,,84,74,32,7.91,59.0,broad-market + cycle bottom
2019-01,2018-19,,78,70,36,7.91,59.0,
2019-02,2018-19,,72,66,40,5.84,50.0,
2019-03,2018-19,,67,62,41,5.84,50.0,
2019-04,2018-19,,63,59,46,5.84,50.0,
2019-05,2018-19,,60,57,39,4.79,39.0,
2019-06,2018-19,,58,56,39,4.79,39.0,
2019-07,2018-19,,56,56,47,4.79,39.0,
2019-08,2018-19,,55,57,45,4.87,31.0,
2019-09,2018-19,,55,58,49,4.87,31.0,price-decline decelerates (recovery tell)
2019-10,2018-19,,56,60,46,4.87,31.0,
2019-11,2018-19,,57,62,47,5.14,27.0,
2019-12,2018-19,,58,64,54,5.14,27.0,
2020-01,2018-19,,60,66,58,5.14,27.0,
2020-02,2018-19,,62,68,54,4.8,29.0,
2020-03,2018-19,,63,70,44,4.8,29.0,
2021-01,2021-24,,82,85,75,6.2,32.0,
2021-02,2021-24,,86,88,82,6.2,32.0,
2021-03,2021-24,,90,92,88,6.2,32.0,
2021-04,2021-24,,94,95,90,6.2,32.0,
2021-05,2021-24,,97,98,84,7.4,42.0,
2021-06,2021-24,,99,100,80,7.4,42.0,
2021-07,2021-24,,100,100,76,7.4,42.0,
2021-08,2021-24,,100,99,73,8.3,47.0,
2021-09,2021-24,,98,96,74,8.3,47.0,
2021-10,2021-24,,94,92,71,8.3,47.0,
2021-11,2021-24,,90,88,78,7.7,47.0,
2021-12,2021-24,,85,84,85,7.7,47.0,
2022-01,2021-24,,80,80,96,7.7,47.0,
2022-02,2021-24,,74,75,90,7.8,47.0,
2022-03,2021-24,,68,70,78,7.8,47.0,
2022-04,2021-24,,64,66,70,7.8,47.0,
2022-05,2021-24,,60,62,71,8.64,47.4,
2022-06,2021-24,,56,58,55,8.64,47.4,
2022-07,2021-24,,52,54,57,8.64,47.4,
2022-08,2021-24,,49,51,60,6.64,40.0,
2022-09,2021-24,,47,49,50,6.64,40.0,
2022-10,2021-24,,46,48,49,6.64,40.0,
2022-11,2021-24,,46,48,56,4.09,21.0,wafer-cut capitulation (-20%)
2022-12,2021-24,,47,49,50,4.09,21.0,
2023-01,2021-24,,48,50,60,4.09,21.0,
2023-02,2021-24,,50,52,58,3.69,-31.4,
2023-03,2021-24,,52,54,60,3.69,-31.4,
2023-04,2021-24,,55,56,63,3.69,-31.4,
2023-05,2021-24,,58,59,66,3.75,-16.1,
2023-06,2021-24,,60,61,63,3.75,-16.1,
2023-07,2021-24,,62,63,66,3.75,-16.1,
2023-08,2021-24,,64,65,70,4.01,-9.0,
2023-09,2021-24,,66,67,68,4.01,-9.0,
2023-10,2021-24,,69,70,70,4.01,-9.0,
2023-11,2021-24,,72,73,78,4.73,1.0,
2023-12,2021-24,,76,77,85,4.73,1.0,
2024-01,2021-24,,80,81,90,4.73,1.0,
2024-02,2021-24,,84,85,95,5.82,19.0,
2024-03,2021-24,,88,89,105,5.82,19.0,
2024-04,2021-24,,92,93,118,5.82,19.0,
2024-05,2021-24,,95,96,110,6.81,28.0,
2024-06,2021-24,,98,99,120,6.81,28.0,
