date,btc,gld_shift,gld_scaled
2022-01-27,37201.84234666,170.43,67204.29017262638
2022-01-28,37784.7229,171.13,67480.315538588
2022-01-31,38472.00623586,172.69,68095.45778273103
2022-02-01,38761.9683,174.7,68888.04490499225
2022-02-02,36835.9015,175.04,69022.11436845931
2022-02-03,37027.78,175.16,69069.43300262417
2022-02-04,41653.56035863,175.96,69384.89056372317
2022-02-07,43905.99797777,176.04,69416.43631983305
2022-02-08,44082.39258092,176.35,69538.67612475892
2022-02-09,44283.9142,177.95,70169.59124695689
2022-02-10,43524.37791832,177.64,70047.35144203104
2022-02-11,42377.6527,177.71,70074.9539786272
2022-02-14,42594.94190252,178.38,70339.1496860476
2022-02-15,44602.5315,177.9,70149.87514938822
2022-02-16,43997.7116,178.77,70492.93524708337
2022-02-17,40491.0412,175.27,69112.80841727529
2022-02-18,39976.23595032,177.16,69858.07690537164
2022-02-22,38302.8439,177.87,70138.045490847
2022-02-23,37287.48634272,177.32,69921.16841759144
2022-02-24,38296.16592689,176.98,69787.09895412436
2022-02-25,39219.476757,177.74,70086.78363716841
2022-02-28,43181.1437,175.74,69298.13973442094
2022-03-01,44359.8712,174.71,68891.98812450598
2022-03-02,43938.47684298,174.05,68631.73563659932
2022-03-03,42450.88343194,171.11,67472.42909956053
2022-03-04,39120.04239886,165.85,65398.29563533465
2022-03-07,37991.87947415,164.93,65035.51944007081
2022-03-08,38724.82008947,166.95,65832.04978184577
2022-03-09,41955.06531615,166.25,65556.02441588415
2022-03-10,39461.35101565,166.14,65512.64900123303
2022-03-11,38770.04591332,166.04,65473.21680609566
2022-03-14,39599.02436505,166.59,65690.09387935122
2022-03-15,39302.01678631,166.58,65686.15065983748
2022-03-16,41147.27988596,164.83,64996.08724493344
2022-03-17,40958.22516015,165.63,65311.54480603243
2022-03-18,41767.09816535,166.2,65536.30831831545
2022-03-21,41051.83345849,167.29,65966.11924531283
2022-03-22,42376.74421839,168.12,66293.40646495305
2022-03-23,42925.97797982,168.76,66545.77251383223
2022-03-24,43948.89112507,168.65,66502.39709918112
2022-03-25,44365.18255014,169.21,66723.21739195041
2022-03-28,46888.22115088,169.0,66640.40978216194
2022-03-29,47498.66565133,169.22,66727.16061146415
2022-03-30,47100.45937112,171.04,67444.82656296436
2022-03-31,45540.82638714,171.07,67456.65622150557
2022-04-01,46231.00475941,169.41,66802.08178222517
2022-04-04,46605.60296926,169.61,66880.94617249991
2022-04-05,45573.53741325,169.39,66794.19534319769
2022-04-06,43138.51946866,168.76,66545.77251383223
2022-04-07,43480.17472136,169.09,66675.89875778557
2022-04-08,42283.4292,168.56,66466.90812355748
2022-04-11,39456.93304169,168.16,66309.17934300799
2022-04-12,40169.21512315,168.44,66419.58948939263
2022-04-13,41160.0481,169.29,66754.76314806032
2022-04-14,39909.71686623,171.17,67496.08841664295
2022-04-18,40826.6711,169.82,66963.75378228839
2022-04-19,41504.4185,169.61,66880.94617249991
